Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sun Mar 11 16:00:04 +0000 2018,0.0,1.0,0.0,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw",0,BBC
0.0,Sun Mar 11 15:01:05 +0000 2018,0.0,1.0,0.0,?? Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd,1,BBC
0.0,Sun Mar 11 14:43:09 +0000 2018,0.0,1.0,0.0,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box ????

He'll be commentating on #Arsenal vs #Watfo…",2,BBC
-0.0772,Sun Mar 11 14:00:04 +0000 2018,0.284,0.459,0.257,Making fake videos just got easier. https://t.co/VSP9bwHVNZ,3,BBC
-0.5267,Sun Mar 11 12:33:04 +0000 2018,0.145,0.855,0.0,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. ????

Captain America: The Winter S… https://t.co/yDWYJRUgGi",4,BBC
0.0,Sun Mar 11 12:00:03 +0000 2018,0.0,1.0,0.0,? Meet Om Abdullah - Egypt's first official female minibus driver. https://t.co/Z4fmE1k5ph,5,BBC
-0.2755,Sun Mar 11 11:31:52 +0000 2018,0.095,0.905,0.0,"RT @BBCSport: We're not emotionally ready for this.

John Motson will deliver his final live BBC commentary today.

More details?
https://t…",6,BBC
0.1326,Sun Mar 11 11:10:49 +0000 2018,0.05,0.877,0.073,"RT @CBeebiesHQ: Doesn't matter if your family has:

One Mum???

Two Mums ???????

A Grandmum ??

... they all want a lie-in!

#HappyMothers…",7,BBC
0.7717,Sun Mar 11 10:32:04 +0000 2018,0.0,0.645,0.355,"? Surprise your mum with a homemade treat this #MothersDay – from easy cupcakes to luscious layer cakes.
?… https://t.co/p7n5lo2ziD",8,BBC
-0.25,Sun Mar 11 10:24:05 +0000 2018,0.155,0.747,0.098,"RT @BBCScotland: Undercover filming reveals Scotland's growing 'bag' problem.

See more from #ShortStuff -  https://t.co/orhxUmskEd 

#come…",9,BBC
